A72, A72, 51.00500, 6.82000, -300.0
A80, A80, 50.74100, 8.63900, 230.0
A82, A82, 51.05100, 9.17600, 225.0
A83, A83, 51.42600, 9.68400, 200.0
A84, A84, 51.54600, 9.96600, 270.0
A85, A85, 50.91600, 8.94300, 220.0
AA02, AA02, 43.26550, 12.57510, 650.0
AA1, AAA, 43.27170, 76.94670, 800.0
AA2, TLG, 43.23000, 77.23000, 0
AAA, AAA, 43.20900, 76.91500, 920.0
AAB, TLG, 43.23300, 77.22500, 1120.0
AAC, AAC, 50.78330, 6.08333, 179.0
AADN, AADN, 22.12240, 31.53070, 260.0
AAE, AAE, 9.02917, 38.76556, 2442.0
AAGR, AAGR, -33.08519, -68.82842, 1159.0
AAHD, AAHD, 23.74740, 32.75110, 240.0
AAI, AAI, -3.68700, 128.19450, 80.0
AA-IS, AA-IS, 52.21167, -174.20361, 6.0
AAK, AAK, 42.63750, 74.49420, 1633.0
AAL, AAL, 60.17800, 19.99360, 10.0
AALM, AALM, 36.83000, -2.40167, 10.0
AAM, AAM, 42.30120, -83.65670, 172.0
AAM1, AAM1, -1.24190, -78.62970, 2836.0
AAM2, AAM2, -1.26910, -78.61090, 2664.0
AAMC, AAMC, 42.27800, -83.73600, 250.0
AANG, AANG, 0.62080, -77.93970, 3011.0
AANI, AANI, -28.81230, -66.93750, 1400.0
AANS, AANS, 30.29090, 31.39980, 30.0
AAP, AAP, 10.42000, 121.94400, 50.0
AAPN, AAPN, 37.30770, -4.12100, 1160.0
AAR, AAR, 46.13330, 25.89500, 1101.0
AARM, AARM, 39.27620, -121.02500, 930.0
AAS, AAS, -62.16000, -58.46250, 15.0
AASA, AASA, -24.79770, -65.40380, 1180.0
AASM, AASM, 38.43000, -121.10900, 65.0
AAU, AAU, 40.59190, -111.63800, 2694.0
AB-, AB-WV, 39.33056, -79.56694, 914.0
AB01, AB01, 49.25560, 59.94310, 243.0
AB02, AB02, 49.25910, 59.94660, 241.0
AB03, AB03, 49.25110, 59.94310, 243.0
AB04, AB04, 49.25780, 59.93710, 249.0
AB05, AB05, 49.27360, 59.94310, 244.0
AB06, AB06, 49.26110, 59.96930, 237.0
AB07, AB07, 49.24100, 59.95930, 235.0
AB08, AB08, 49.23869, 59.92800, 243.0
AB09, AB09, 49.26140, 59.91810, 238.0
AB31, AB31, 49.25560, 59.94310, 243.0
ABA, ABA, 36.80167, 3.03500, 345.0
